final_alpha_mean,final_alpha_std,accuracy_mean,accuracy_std,trust_mean,trust_std,calibration_gap_mean,calibration_gap_std,calibration_gap_acctrust_mean,calibration_gap_acctrust_std,sycophancy_index_mean,sycophancy_index_std,regret_mean,regret_std,name
0.0,0.0,0.8014166666666666,0.016252350257390136,0.5566948970035803,0.0184102041772231,0.2447217696630864,0.02232426297598722,0.3014166666666666,0.016252350257390132,0.0,0.0,-0.0014166666666666364,0.016252350257390132,Static honest
1.0,0.0,0.6026666666666666,0.01872424156600801,0.9999999999999969,1.1102230246251565e-16,0.3973333333333304,0.018724241566008014,0.10266666666666667,0.01872424156600801,0.0,0.0,0.1973333333333334,0.01872424156600801,Static sycophant
0.9999432077187169,0.0003058357944826262,0.6026666666666666,0.01872424156600801,0.9999929580505426,3.792119793008488e-05,0.39732629138387593,0.018714342572309077,0.10266666666666667,0.01872424156600801,0.3264105062826114,0.02898346816527244,0.1973333333333334,0.01872424156600801,Approval-only
0.9989013244762587,0.0005469712344008065,0.5981666666666666,0.01712008242451601,0.9992977802178321,0.0009253549358575317,0.40113111355116554,0.017189327907527183,0.03693097801003784,0.026698343121640076,0.3271725046531729,0.023186357593679156,0.2018333333333334,0.017120082424516014,REG lam=0.1 q=0.3
0.9971880904879217,0.0006178082822746732,0.5984999999999999,0.016886261674311853,0.9985400959167755,0.0011165747721432206,0.4000400959167756,0.016923027715686982,0.03726625581360532,0.026672964223390657,0.3201886773386573,0.020778709796143692,0.20150000000000007,0.016886261674311853,REG lam=0.3 q=0.3
0.9956976458449953,0.0008558081323881733,0.5989166666666667,0.016828588440177896,0.9978913885683951,0.0009136069204906564,0.39897472190172845,0.016778211830333553,0.037274369012666904,0.026749993967917017,0.31172867889086703,0.018774069704789797,0.20108333333333342,0.016828588440177896,REG lam=0.5 q=0.3
0.9934147578127804,0.0008934924506529585,0.5993333333333333,0.017074387901831863,0.9970200969165322,0.0011042067390902854,0.39768676358319877,0.017065759206964196,0.03743218097762025,0.026494940417264454,0.3029928277182033,0.017129549534583934,0.20066666666666672,0.017074387901831863,REG lam=0.8 q=0.3
0.9987910065301521,0.00040975206401089174,0.5979166666666667,0.017270318146718918,0.9994627951752528,0.0007429333562747562,0.4015461285085861,0.017302046606114143,0.04250742264347958,0.03698973352397646,0.3265756061350295,0.02418975952613882,0.20208333333333334,0.017270318146718918,REG lam=0.5 q=0.05
0.9965283815794959,0.0009239150743778835,0.5986666666666667,0.01688790658693045,0.9983563785115253,0.0010552698921203491,0.3996897118448585,0.016902517968867374,0.02918397122760751,0.020652426278674637,0.3181484666068541,0.02061973524859258,0.2013333333333334,0.01688790658693045,REG lam=0.5 q=0.2
0.9942927525059934,0.000985771071116293,0.599125,0.016817494611267164,0.9974594860263686,0.001051044367540973,0.3983344860263687,0.01665022268770636,0.04400193801670548,0.028425729821838882,0.3033955742318252,0.0169120995792841,0.20087500000000005,0.01681749461126716,REG lam=0.5 q=0.5
0.9934261180774366,0.0011260824540047126,0.5991666666666666,0.016873713942763824,0.9971678884190626,0.0012211401681821413,0.3980012217523959,0.01686887646057178,0.03818328576844056,0.0294267343485746,0.29947442636879706,0.01722942060780739,0.20083333333333336,0.01687371394276382,REG lam=0.5 q=0.6
0.9924684498354018,0.0013382022221442324,0.5992916666666666,0.017040647891308464,0.9969226682430025,0.0012291335568284782,0.3976310015763359,0.016919093564700564,0.03579288006446839,0.028406533618452755,0.29362692310240435,0.01862278233686246,0.2007083333333334,0.017040647891308464,REG lam=0.5 q=0.7
0.991009890069842,0.00239564090074195,0.599875,0.016926157025936712,0.9964032262623278,0.001658246111473332,0.3965282262623277,0.016482918922751933,0.03623830492773917,0.02975921158640467,0.2865917211499292,0.017582881680011982,0.20012500000000005,0.01692615702593671,REG lam=0.5 q=0.8
0.9890455503263696,0.003220231602077933,0.5999583333333334,0.01662541770569657,0.9956102271839035,0.002042112734688146,0.3956518938505701,0.0162102761467057,0.03999089470893657,0.030856553787408415,0.27330803167631823,0.01949054806433965,0.20004166666666676,0.01662541770569657,REG lam=0.5 q=0.9
0.9787507546997205,0.012070357848783334,0.6016666666666668,0.01645490470616251,0.9906674597809777,0.0048716929366057465,0.3890007931143111,0.016511699172973484,0.03761429273519391,0.03150669548920806,0.2508435677998395,0.021128046086266134,0.19833333333333336,0.01645490470616251,REG lam=0.5 q=1.0
0.9998537802661008,0.00036377999759389264,0.6027083333333334,0.01881124257517887,0.9999513004929861,0.00022622312232330446,0.39724296715965285,0.018890649936956515,0.10270833333333333,0.018811242575178865,0.32261759321730976,0.027206101126833332,0.19729166666666673,0.018811242575178865,Transparency 0.2
0.9994426914423651,0.0010230636919750361,0.60275,0.01888948119986359,0.9997452413835176,0.0005828874636833202,0.39699524138351755,0.01902381365693016,0.10275,0.018889481199863594,0.3043018888920309,0.021898618007508534,0.19725000000000004,0.01888948119986359,Transparency 0.5
0.958832801662668,0.007087521907717224,0.6115833333333334,0.020350914530365027,0.9821602293788305,0.0047521344847178,0.37057689604549704,0.02215740385457733,0.11158333333333333,0.020350914530365024,0.22227115230222852,0.016560949567157104,0.18841666666666673,0.020350914530365024,Transparency 0.8
0.7764499822492302,0.03976400660488659,0.6432083333333334,0.020061580543139883,0.9010131527066392,0.01942585864708622,0.25780481937330585,0.03272175303183376,0.03565779289887658,0.02682710022148745,0.10982467017682508,0.02390172176735076,0.15679166666666672,0.02006158054313988,REG-noFB lam=0.5 q=0.3
